### V1.4 DOCUMENT/REFERENCE CONSISTENCY AUDIT — 88129099 — 2026-09-02T15:39:05Z
### SCOPE: document/reference consistency ONLY — NOT proof of semantic/legal/security correctness or source-universe completeness (SIK-1..9 UNEXECUTED· entries PENDING_LEGAL_VALIDATION)
# P1 καμία ταξινόμηση «CPEI = ιδιωτικό» σε ACTIVE έγγραφο (μόνο ως ανακληθέν παράθεμα)
P1a   | actual=1      | want ge 1      | PASS
P1b   | actual=1      | want ge 1      | PASS
P1c   | actual=1      | want ge 1      | PASS
P1d   | actual=1      | want ge 1      | PASS
P1e   | actual=1      | want ge 1      | PASS
P1f   | actual=11     | want ge 1      | PASS
P1g   | actual=1      | want ge 1      | PASS
# P2 και οι 12 στρώσεις L1–L12 ονομαστικά στο v1.4 §1.1 και στο crosswalk §B.0
P2a   | actual=12     | want eq 12     | PASS
P2b   | actual=12     | want eq 12     | PASS
# P3 κανένα νευρωνικό συστατικό στο trusted path
P3a   | actual=1      | want ge 1      | PASS
P3b   | actual=1      | want ge 1      | PASS
P3c   | actual=1      | want ge 1      | PASS
P3d   | actual=1      | want ge 1      | PASS
P3e   | actual=3      | want ge 2      | PASS
# P4 καμία μη επαληθευμένη ερμηνεία ως θεσμικό γεγονός
P4a   | actual=4      | want ge 1      | PASS
P4b   | actual=1      | want ge 1      | PASS
P4c   | actual=1      | want ge 1      | PASS
P4d   | actual=1      | want ge 1      | PASS
P4e   | actual=1      | want ge 1      | PASS
P4f   | actual=2      | want eq 2      | PASS
# P5 καμία απαίτηση χωρίς έδρα/τεστ/τεκμήριο· κάθε αναφερόμενο id ορισμένο
P5a   | actual=134    | want eq 134    | PASS
P5b   | actual=134    | want eq 134    | PASS
P5c   | actual=134    | want eq 134    | PASS
P5d   | actual=0      | want eq 0      | PASS
P5e   | actual=5      | want eq 5      | PASS
P5f   | actual=109    | want eq 109    | PASS
P5g   | actual=0      | want eq 0      | PASS
P5h   | actual=109    | want eq 109    | PASS
P5i   | actual=43     | want eq 43     | PASS
P5j   | actual=0      | want eq 0      | PASS
P5k   | actual=15     | want eq 15     | PASS
P5l   | actual=0      | want eq 0      | PASS
P5m   | actual=16     | want eq 16     | PASS
P5n   | actual=0      | want eq 0      | PASS
P5o   | actual=0      | want eq 0      | PASS
P5p   | actual=8      | want eq 8      | PASS
P5q   | actual=159    | want eq 159    | PASS
P5r   | actual=0      | want eq 0      | PASS
P5s   | actual=0      | want eq 0      | PASS
P5t   | actual=15     | want eq 15     | PASS
P1h   | actual=0      | want eq 0      | PASS
P6b   | actual=1      | want eq 1      | PASS
P6e   | actual=0      | want eq 0      | PASS
C8    | actual=35     | want eq 35     | PASS
C9    | actual=35     | want eq 35     | PASS
C10   | actual=1      | want ge 1      | PASS
C13a  | actual=1      | want ge 1      | PASS
C13b  | actual=0      | want eq 0      | PASS
C13c  | actual=0      | want eq 0      | PASS
C13d  | actual=0      | want eq 0      | PASS
C17   | actual=6      | want eq 6      | PASS
H1a   | actual=0      | want eq 0      | PASS
H1b   | actual=5      | want ge 3      | PASS
H2a   | actual=0      | want eq 0      | PASS
H2b   | actual=6      | want eq 6      | PASS
H2c   | actual=0      | want eq 0      | PASS
H3    | actual=5      | want eq 5      | PASS
# P6 μία κανονική γραμμή: v1.4 CURRENT, v1.3 HISTORICAL, banners
P6a   | actual=1      | want eq 1      | PASS
P6c   | actual=1      | want eq 1      | PASS
P6d   | actual=3      | want eq 3      | PASS
P6g   | actual=1      | want ge 1      | PASS
# C καταμετρήσεις έναντι του filesystem και μεταξύ εγγράφων
C1    | actual=133    | want eq 133    | PASS
